color,text
White,changeling card every creature type champion creature enters battlefield sacrifice unless exile another creature control leaf battlefield card return battlefield lifelink damage dealt creature also cause gain much life
Black,flying chimney imp dy target opponent put card hand top library
Black,conspiracy enters battlefield choose creature type creature control chosen type true creature spell control creature card battlefield
Blue,counter target spell spell countered way exile three time counter instead putting owner graveyard suspend gain suspend beginning owner upkeep remove time counter card last removed player play without paying mana cost creature ha haste
White,player cast one spell turn
Blue,beginning opponent upkeep player chooses draw step main phase combat phase player skip instance chosen step phase turn
Red,flip coin lose flip choose stop flipping lose flip fiery gambit ha effect win one flip fiery gambit deal damage target creature win two flip fiery gambit deal damage opponent win three flip draw nine card untap land control
Red,flamekin harbinger enters battlefield may search library elemental card reveal shuffle library put card top
Blue,artifact creature land opponent control enter battlefield tapped
Black,choose one target player discard card target creature get plusandminus end turn target creature gain swampwalk end turn blocked long defending player control swamp
Green,changeling card every creature type trample
Red,kicker redmana may pay additional redmana cast spell goblin bushwhacker enters battlefield wa kicked creature control get plusandplus gain haste end turn
Blue,blue creature control get plusandplus bluemana target artifact creature becomes blue end turn tap untapped blue creature control add colorlessmanacolorlessmana spend mana cast artifact spell activate ability artifact
Green,hornet sting deal damage target
Red,tap add redmana
White,creature control get plusandplus morph whitemana may cast card face creature turn face time morph cost
Green,sliver creature control tap add one mana color
Red,player cast spell creature attack exile norin wary return battlefield owner control beginning next end step
White,wandp paid either whitemana life creature attack planeswalker control unless controller pay wandp creature
Black,discard hand
Blue,enchant player beginning enchanted player first upkeep turn player get additional upkeep step step
Blue,beginning upkeep may exchange control target nonland permanent control target nonland permanent opponent control equal lesser converted mana cost
White,put target faceminusup exiled card owner graveyard
Red,add redmanaredmanaredmana
Black,opponent three card put graveyard anywhere turn may pay rather pay spell mana cost exile card target player graveyard
Green,whenever cast legendary spell draw card
Black,additional cost cast spell sacrifice creature choose target creature card graveyard return card sacrificed card battlefield control beginning next upkeep exile rescue underworld
White,prevent damage would dealt creature control
White,life flip runeminustail kitsune ascendant
Green,tap may put land card hand onto battlefield
Green,flash may cast spell time could cast instant flying protection blue return forest control owner hand untap target creature activate ability turn
White,sliver creature get plusandplus
White,whenever another creature enters battlefield may gain life
White,whenever opponent cast spell player sacrifice permanent unless pay
Blue,enchant instant card graveyard whenever cast sorcery spell copy enchanted instant card may cast copy without paying mana cost exile enchanted card attach spellweaver volute another instant card graveyard
Black,zombie spell cast cost le cast zombie creature control get plusandplus
White,target player sacrifice enchantment bolster choose creature least toughness among creature control put plusandplus counter
Green,abzan kinminusguard ha lifelink long control white black permanent
White,enchant creature enchanted creature get plusandplus enchanted creature ha vigilance long control black green permanent
White,flying abzan skycaptain dy bolster choose creature least toughness among creature control put two plusandplus counter
Green,ainok guide enters battlefield choose one put plusandplus counter ainok guide search library basic land card reveal shuffle library put card top
Black,dash blackmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
Green,trample ambush krotiq enters battlefield return another creature control owner hand
Black,enchant creature ancestral vengeance enters battlefield put plusandplus counter target creature control enchanted creature get minusandminus
White,arashin cleric enters battlefield gain life
Green,whenever arashin war beast deal combat damage one blocking creature manifest top card library put onto battlefield face creature turn face time mana cost creature card
Red,choose target creature whenever creature dealt damage turn deal much damage creature player
Green,defender reach creature block creature flying
White,flying
Blue,flying aven surveyor enters battlefield choose one put plusandplus counter aven surveyor return target creature owner hand
Black,long control red white permanent battle brawler get plusandplus ha first strike
Green,battlefront krushok blocked one creature creature control plusandplus counter blocked one creature
Red,bloodfire enforcer ha first strike trample long instant card sorcery card graveyard
Red,redmana target creature power le gain haste end turn blocked turn
Green,bolster choose creature least toughness among creature control put three plusandplus counter
White,prevent damage would dealt permanent control turn source control damage prevented way may channel harm deal much damage target creature
Red,additional cost cast spell sacrifice creature collateral damage deal damage target
Black,player discard card hand draw many card minus one
Red,defiant ogre enters battlefield choose one put plusandplus counter defiant ogre destroy target artifact
Green,flying destructor dragon dy destroy target noncreature permanent
Black,target opponent reveals hand choose nonland card player discard card control warrior player loses life
Black,douse gloom deal damage target creature gain life
White,vigilance prowess whenever cast noncreature spell creature get plusandplus end turn
Red,add redmana attacking creature control end turn attacking creature control gain redmana creature get plusandplus end turn
White,beginning end step bolster x x number tapped creature control choose creature least toughness among creature control put x plusandplus counter
Blue,draw three card discard card
Blue,choose one player draw x card player put top x card library graveyard
Black,return target creature card graveyard battlefield dragon put two plusandplus counter
Red,manifest top card library put two plusandplus counter manifest card put onto battlefield face creature turn face time mana cost creature card
Red,flying haste flamewake phoenix attack combat able ferocious beginning combat turn control creature power greater may pay redmana return flamewake phoenix graveyard battlefield
Green,manifest top card library put plusandplus counter manifest card put onto battlefield face creature turn face time mana cost creature card
Red,target creature controller reveals card random hand friendly fire deal damage creature player equal revealed card converted mana cost
Green,ferocious frontier mastodon enters battlefield plusandplus counter control creature power greater
Green,enchant creature enchanted creature dy gain x life draw x card x toughness
Red,whenever goblin heelcutter attack target creature block turn dash redmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
Black,choose target creature put top three card library graveyard put plusandplus counter creature creature card graveyard
Black,delve card exile graveyard casting spell pay
White,gain life bolster choose creature least toughness among creature control put two plusandplus counter
Black,hooded assassin enters battlefield choose one put plusandplus counter hooded assassin destroy target creature wa dealt damage turn
Red,long control green blue permanent may cast hungering yeti though flash may cast time could cast instant
Green,put plusandplus counter target creature control creature fight target creature control deal damage equal power
White,flash may cast spell time could cast instant defender jeskai barricade enters battlefield may return another target creature control owner hand
Blue,enchant creature enchanted creature get plusandplus enchanted creature ha flying long control red white permanent
Blue,prowess whenever cast noncreature spell creature get plusandplus end turn jeskai sage dy draw card
Red,flying trample haste beginning end step lightning shrieker owner shuffle library
Blue,flying prowess whenever cast noncreature spell creature get plusandplus end turn
White,prowess whenever cast noncreature spell creature get plusandplus end turn lotusminuseye mystic enters battlefield return target enchantment card graveyard hand
Green,search library basic land card put onto battlefield tapped shuffle library bolster choose creature least toughness among creature control put plusandplus counter
Blue,marang river prowler block blocked may cast marang river prowler graveyard long control black green permanent
Red,enchant creature enchanted creature get plusandplus enchanted creature ha first strike long control white black permanent
Red,dash redmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
Black,whenever mardu shadowspear attack opponent loses life dash blackmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
Black,whenever mardu strike leader attack create black warrior creature token dash blackmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
White,whenever mardu woeminusreaper another warrior enters battlefield control may exile target creature card graveyard gain life
White,whenever permanent control turned face gain life creature control whitemana manifest top card library put onto battlefield face creature turn face time mana cost creature card
Black,merciless executioner enters battlefield player sacrifice creature
Blue,flying whenever mindscour dragon deal combat damage opponent target player put top four card library graveyard
Blue,prowess whenever cast noncreature spell creature get plusandplus end turn whenever cast noncreature spell target creature gain flying end turn
Red,choose one gain control creature power greater end turn untap creature gain haste end turn gain control creature power le end turn untap creature gain haste end turn
White,prowess whenever cast noncreature spell creature get plusandplus end turn whenever cast noncreature spell create white monk creature token prowess
Blue,counter target multicolored spell
Black,whenever another creature enters battlefield control target creature opponent control get minusandminus end turn
White,tap target creature draw card
Black,blackmana tap sacrifice another creature manifest top card library put card onto battlefield face creature turn face time mana cost creature card
Red,rageform enters battlefield becomes aura enchant creature manifest top card library attach rageform manifest card put onto battlefield face creature turn face time mana cost creature card enchanted creature ha double strike deal firstminusstrike regular combat damage
Blue,counter target spell unless controller pay card graveyard
White,return creature card converted mana cost x le graveyard battlefield exile creature beginning next upkeep exile rally ancestor
Black,destroy target creature one color
Blue,untap target creature draw card
Blue,tap add colorlessmanacolorlessmana spend mana cast artifact spell activate ability artifact bluemana tap search library card named heartminuspiercer bow vial dragonfire reveal put hand shuffle library
Blue,delve card exile graveyard casting spell pay return target nonland permanent control target nonland permanent control owner hand
Green,choose one target nonattacking creature gain reach deathtouch end turn untap target attacking creature get plusandplus gain trample end turn
White,sandblast deal damage target attacking blocking creature
Green,reach sandsteppe mastodon enters battlefield bolster choose creature least toughness among creature control put five plusandplus counter
White,sandsteppe outcast enters battlefield choose one put plusandplus counter sandsteppe outcast create white spirit creature token flying
Blue,exchange control two target permanent share card type artifact creature enchantment land planeswalker card type
Red,flying whenever shockmaw dragon deal combat damage player deal damage creature player control
Black,sibsig host enters battlefield player put top three card library graveyard
Black,delve card exile graveyard casting spell pay sibsig muckdraggers enters battlefield return target creature card graveyard hand
Red,smoldering efreet dy deal damage
White,manifest top card library put onto battlefield face creature turn face time mana cost creature card
Green,put top four card library graveyard return creature card land card graveyard hand
Black,sultai emissary dy manifest top card library put card onto battlefield face creature turn face time mana cost creature card
Black,enchant creature enchanted creature get plusandplus enchanted creature ha deathtouch long control green blue permanent amount damage deal creature enough destroy
Blue,sultai skullkeeper enters battlefield put top two card library graveyard
Blue,return target creature owner hand create token copy creature
Black,delve card exile graveyard casting spell pay opponent discard two card
Blue,delve card exile graveyard casting spell pay take extra turn one exile temporal trespass
Red,target creature gain double strike end turn deal firstminusstrike regular combat damage ferocious creature also gain trample end turn control creature power greater
Green,enchant creature enchanted creature get plusandplus enchanted creature ha trample long control blue red permanent
Green,temur war shaman enters battlefield manifest top card library put card onto battlefield face creature turn face time mana cost creature card whenever permanent control turned face creature may fight target creature control
Red,whenever vaultbreaker attack may discard card draw card dash redmana may cast spell dash cost gain haste returned battlefield owner hand beginning next end step
White,whenever wandering champion deal combat damage player control blue red permanent may discard card draw card
White,flying long wardscale dragon attacking defending player cast spell
Blue,put target attacking blocking creature top owner library
Green,tap add greenmana ferocious tap add greenmanagreenmana activate ability control creature power greater
Green,beginning end step manifest top card library put onto battlefield face creature turn face time mana cost creature card sacrifice whisperwood elemental end turn faceminusup nontoken creature control gain creature dy manifest top card library
Red,ferocious control creature power greater damage prevented turn wild slash deal damage target
Green,manifest top card library put x plusandplus counter manifest card put onto battlefield face creature turn face time mana cost creature card
Blue,delve card exile graveyard casting spell pay tap two target creature creature untap controller next untap step
Green,prevent combat damage would dealt turn ferocious control creature power greater instead prevent combat damage would dealt turn creature opponent control
Blue,look top two card library manifest one card put top bottom library manifest card put onto battlefield face creature turn face time mana cost creature card
Red,arc blade deal damage target exile arc blade three time counter suspend redmana rather cast card hand may pay redmana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost
Blue,enchant creature enchanted creature ha flying aura swap bluemana bluemana exchange aura aura card hand
White,shadow creature block blocked creature shadow sacrifice augur ilminusvec gain life activate ability upkeep
Black,blackmana regenerate augur skull sacrifice augur skull target player discard two card activate ability upkeep
Blue,flying sacrifice aven augur return two target creature owner hand activate ability upkeep
White,beginning upkeep control permanent barren glory card hand win game
Green,whenever forest enters battlefield green creature control get plusandplus gain trample end turn grandeur discard another card named baru fist krosa create xandx green wurm creature token x number land control
Black,search target player library card exile player shuffle library gravestorm cast spell copy permanent put graveyard turn may choose new target copy
Red,tap bloodshot trainee deal damage target creature activate ability bloodshot trainee power greater
Red,bloodthirst opponent wa dealt damage turn creature enters battlefield plusandplus counter flanking whenever creature without flanking block creature blocking creature get minusandminus end turn
Blue,defender haste tap draw card discard card
White,enchant creature enchanted creature attack block
Black,whenever nontoken creature put graveyard battlefield bridge graveyard create black zombie creature token creature put opponent graveyard battlefield bridge graveyard exile bridge
Green,long centaur omenreader tapped creature spell cast cost le cast
Red,double strike redmana charminusrumbler get plusandplus end turn
White,next turn creature attack exile chronomantic escape three time counter suspend whitemana rather cast card hand may pay whitemana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost
Blue,flying bluemana tap discard card create blue faerie creature token named cloud sprite ha flying cloud sprite block creature flying
Black,hellbent cutthroat ilminusdal ha shadow long card hand block blocked creature shadow
Green,target creature get plusandplus end turn exile cyclical evolution three time counter suspend greenmana rather cast card hand may pay greenmana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost
White,enchant creature another aura attached enchanted creature get plusandplus ha first strike vigilance lifelink damage dealt creature also cause controller gain much life
Black,delve card exile graveyard casting spell pay destroy target nongreen creature regenerated
Black,flying haste echodiscard card beginning upkeep came control since beginning last upkeep sacrifice unless pay echo cost
Green,dryad arbor spell affected summoning sickness ha tap add greenmana
White,choose one remove two time counter permanent suspended card put two time counter permanent time counter suspended card
Red,enchant creature control creature control haste
White,cast spell control fewer creature opponent create three white soldier creature token
Red,enchant creature fatal attraction enters battlefield deal damage enchanted creature beginning upkeep fatal attraction deal damage enchanted creature
Black,creature opponent control get minusandminus end turn exile festering march three time counter suspend blackmana rather cast card hand may pay blackmana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost
Black,transfigure blackmanablackmana blackmanablackmana sacrifice creature search library creature card converted mana cost creature put card onto battlefield shuffle library transfigure sorcery
Red,enchant creature tap enchanted creature get plusandminus end turn
Green,trample
Blue,scry draw two card scry look top four card library put number bottom library rest top order
Black,sliver creature frenzy whenever sliver attack blocked get plusandplus end turn
Black,beginning player upkeep player loses life discard card hellbent skip upkeep step card hand madness blackmanablackmana discard card discard exile cast madness cost put graveyard
White,flash may cast spell time could cast instant enchant creature enchanted creature get plusandplus
White,whitemana tap discard card create white kithkin soldier creature token named goldmeadow harrier ha whitemana tap tap target creature
Red,redmana return grinning ignus owner hand add colorlessmanacolorlessmanaredmana activate ability time could cast sorcery
Red,buyback may pay additional cast spell put card hand resolve creature control get plusandplus end turn storm cast spell copy spell cast turn
Green,whenever player cast noncreature spell player opponent may draw card
Red,sliver card player hand ha slivercycling slivercycling discard card search library sliver card reveal put hand shuffle library
White,imperial mask enters battlefield token teammate creates token copy imperial mask hexproof target spell ability opponent control
Green,spend mana produced basic land cast spell
Blue,shadow creature block blocked creature shadow suspend bluemana rather cast card hand may pay bluemana exile two time counter beginning upkeep remove time counter last removed cast without paying mana cost ha haste
White,next time source choice would deal damage turn prevent damage gain life equal damage prevented way beginning next upkeep pay whitemanawhitemana lose game
White,choose target attacking blocking creature scry reveal top card library judge unworthy deal damage equal card converted mana cost creature scry look top three card library put number bottom library rest top order
Green,kicker may pay additional cast spell convoke creature help cast spell creature tap casting spell pay one mana creature color kavu primarch wa kicked enters battlefield four plusandplus counter
White,flying flanking whenever creature without flanking block creature blocking creature get minusandminus end turn suspend whitemana rather cast card hand may pay whitemana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost ha haste
Black,korlash heir blackblade power toughness equal number swamp control blackmana regenerate korlash grandeur discard another card named korlash heir blackblade search library two swamp card put onto battlefield tapped shuffle library
Blue,flash may cast spell time could cast instant enchant creature enchanted creature get plusandplus untap controller untap step
Blue,x bluemanabluemana tap return target creature converted mana cost x owner hand grandeur discard another card named linessa zephyr mage target player return creature control owner hand repeat process artifact enchantment land
Green,sacrifice llanowar augur target creature get plusandplus gain trample end turn activate ability upkeep
Green,greenmana tap discard card create green elf druid creature token named llanowar elf ha tap add greenmana
Blue,delve card exile graveyard casting spell pay counter target spell unless controller pay x
White,vanishing creature enters battlefield three time counter beginning upkeep remove time counter last removed sacrifice lost auramancers dy time counter may search library enchantment card put onto battlefield shuffle library
Black,target player reveals hand choose nonland card player put card library third top
White,flying
White,sliver creature absorb source would deal damage sliver prevent damage
Blue,flying morph bluemana may cast card face creature turn face time morph cost maelstrom djinn turned face put two time counter gain vanishing beginning upkeep remove time counter last removed sacrifice
Blue,play top card library revealed may play top card library
White,creature without flying attack
Red,nonbasic land mountain
White,creature control get plusandplus gain vigilance end turn cycling discard card draw card flashback whitemana may cast card graveyard flashback cost exile
Blue,sliver permanent enters battlefield may fateseal fateseal controller look top card opponent library may put card bottom library
Black,draw x card lose x life x number creature control
White,lifelink protection converted mana cost greater
Green,creature ability get plusandplus
Blue,buyback may pay additional cast spell put card hand resolve scry look top three card library put number bottom library rest top order
Green,nacatl warminuspride must blocked exactly one creature able whenever nacatl warminuspride attack create x token copy nacatl warminuspride tapped attacking x number creature defending player control exile token beginning next end step
Blue,flying narcomoeba put graveyard library may put onto battlefield
Black,fear creature blocked except artifact creature andandor black creature suspend blackmana rather cast card hand may pay blackmana exile seven time counter beginning upkeep remove time counter last removed cast without paying mana cost ha haste whenever card put opponent graveyard anywhere nihilith suspended may remove time counter nihilith
Blue,counter target spell mana wa spent cast
Black,flash may cast spell time could cast instant enchant creature enchanted creature ha discard card creature get plusandplus end turn
White,tap prevent damage would dealt target creature turn grandeur discard another card named oriss samite guardian target player cast spell turn creature player control attack turn
Red,create red giant creature token beginning next upkeep pay redmana lose game
White,cast another white spell turn may cast spell without paying mana cost destroy enchantment
Green,enchant creature enchanted creature get plusandplus suspend greenmana rather cast card hand may pay greenmana exile two time counter beginning upkeep remove time counter last removed cast without paying mana cost
Black,enchant land whenever enchanted land becomes tapped controller loses life blackmana destroy enchanted land
Black,putrid cyclops enters battlefield scry reveal top card library putrid cyclops get minusxandminusx end turn x card converted mana cost scry look top card library may put card bottom library
Red,instant sorcery source control would deal damage permanent player deal much damage plus permanent player instead beginning end step discard hand
Green,split second long spell stack player cast spell activate ability mana ability shroud creature target spell ability spell ability opponent control cause discard quagnoth return hand
Green,enchant artifact enchantment beginning upkeep choose one destroy enchanted permanent gain life
White,tap return target rebel permanent card converted mana cost le graveyard battlefield
Green,kicker may pay additional cast spell vanishing creature enters battlefield two time counter beginning upkeep remove time counter last removed sacrifice ravaging riftwurm wa kicked enters battlefield three additional time counter
Blue,return target permanent owner hand exile reality strobe three time counter suspend bluemana rather cast card hand may pay bluemana exile three time counter beginning upkeep remove time counter last removed cast without paying mana cost
Red,choose target scry reveal top card library riddle lightning deal damage equal card converted mana cost permanent player scry look top three card library put number bottom library rest top order
Red,redmana remove time counter permanent control suspended card rift elemental get plusandplus end turn
Green,riftsweeper enters battlefield choose target faceminusup exiled card owner shuffle library
White,whenever another creature enters battlefield exile saltskitter return saltskitter battlefield owner control beginning next end step
White,whitemana sacrifice samite censerminusbearer prevent next damage would dealt creature control turn
Blue,sarcomite myr gain flying end turn sacrifice sarcomite myr draw card
Red,flying redmana scourge kher ridge deal damage creature without flying redmana scourge kher ridge deal damage creature flying
White,next creature card play turn played though flash draw card
Blue,enchant creature tap tap enchanted creature tap untap enchanted creature
Red,trample echo beginning upkeep came control since beginning last upkeep sacrifice unless pay echo cost shah naar isle echo cost paid opponent may draw three card
Blue,beginning opponent upkeep player reveals top card library creature card player put card graveyard shapeshifter marrow becomes copy card doe loses ability
Black,flying whenever shimian specter deal combat damage player player reveals hand choose nonland card search player graveyard hand library card name card exile player shuffle library
Red,shivan sandminusmage enters battlefield choose one remove two time counter target permanent suspended card put two time counter target permanent time counter suspended card suspend redmana rather cast card hand may pay redmana exile four time counter beginning upkeep remove time counter last removed cast without paying mana cost ha haste
Black,blackmana tap discard card create black zombie goblin creature token named festering goblin ha festering goblin dy target creature get minusandminus end turn
Red,haste echosacrifice two land beginning upkeep came control since beginning last upkeep sacrifice unless pay echo cost
Black,destroy target nonblack creature beginning next upkeep pay blackmana lose game
Black,enchant creature enchanted creature ha poisonous whenever deal combat damage player player get three poison counter player ten poison counter loses game
Red,redmana tap discard card create red elemental creature token named spark elemental ha trample haste beginning end step sacrifice spark elemental
Green,spell target spellwild ouphe cost le cast
White,shadow creature block blocked creature shadow forecast whitemana reveal spirit enminusdal hand target creature gain shadow end turn activate ability upkeep turn
Green,beginning upkeep put spore counter sporoloth ancient creature control remove two spore counter creature create green saproling creature token
Green,convoke creature help cast spell creature tap casting spell pay one mana creature color buyback may pay additional cast spell put card hand resolve create green saproling creature token
Red,rigger control get plusandplus haste rigger control would assemble contraption assembles two contraption instead
Red,haste storm entity enters battlefield plusandplus counter spell cast turn
Black,shadow creature block blocked creature shadow whenever stronghold rat deal combat damage player player discard card
Blue,split second long spell stack player cast spell activate ability mana ability enchant permanent control enchanted permanent
Green,tarmogoyf power equal number card type among card graveyard toughness equal number plus
Red,flying haste grandeur discard another card named tarox bladewing tarox bladewing get plusxandplusx end turn x power
Red,thunderblade charge deal damage target whenever one creature control deal combat damage player thunderblade charge graveyard may pay redmanaredmanaredmana may cast without paying mana cost
Blue,tolaria west enters battlefield tapped tap add bluemana transmute bluemanabluemana bluemanabluemana discard card search library card converted mana cost reveal put hand shuffle library transmute sorcery
Black,flying delve card exile graveyard casting spell pay
Blue,morph bluemana may cast card face creature turn face time morph cost whenever unblinking bleb another permanent turned face may scry look top two card library put number bottom library rest top order
Green,beginning upkeep put spore counter utopia mycon remove three spore counter utopia mycon create green saproling creature token sacrifice saproling add one mana color
Blue,flash may cast spell time could cast instant vedalken aethermage enters battlefield return target sliver owner hand wizardcycling discard card search library wizard card reveal put hand shuffle library
Blue,return target nonland permanent suspended card owner hand
Blue,flash venser shaper savant enters battlefield return target spell permanent owner hand
Green,sliver creature poisonous whenever sliver deal combat damage player player get poison counter player ten poison counter loses game
Black,blackmana tap destroy target creature wa dealt damage turn
Black,card graveyard lose ability
Blue,flying tap tap two untapped creature control return target permanent owner hand
Blue,search library three card reveal target opponent chooses one put card hand rest graveyard shuffle library
Green,echo greenmanagreenmana beginning upkeep came control since beginning last upkeep sacrifice unless pay echo cost deranged hermit enters battlefield create four green squirrel creature token squirrel creature get plusandplus
Green,greenmana tap reveal card top library reveal basic land card put card hand card revealed way graveyard
White,flying whenever exalted angel deal damage gain much life morph whitemanawhitemana may cast card face creature turn face time morph cost
Blue,may choose instant card outside game reveal card put hand exile cunning wish
Black,end turn may play card graveyard card would put graveyard anywhere turn exile card instead
Red,protection blue creature blocked targeted dealt damage enchanted anything blue whenever goblin piledriver attack get plusandplus end turn attacking goblin
White,kicker whitemana may pay additional whitemana cast spell target player cast spell turn spell wa kicked creature attack turn
Blue,bluemana untap morphling bluemana morphling gain flying end turn bluemana morphling gain shroud end turn target spell ability morphling get plusandminus end turn morphling get minusandplus end turn
Black,beginning upkeep lose life create black faerie rogue creature token flying
Black,beginning upkeep reveal top card library put card hand lose life equal converted mana cost
White,flying creature blocked except creature flying reach whenever one creature control attack gain indestructible end turn damage effect say destroy destroy
Blue,hexproof creature opponent control attack combat able
Red,flying creature blocked except creature flying reach immortal phoenix dy return owner hand
Green,trample whenever rampaging brontodon attack get plusandplus end turn land control
Black,lifelink vengeant vampire dy destroy target creature opponent control gain life
Red,battalion whenever bomber corp least two creature attack bomber corp deal damage target
White,battalion whenever boros elite least two creature attack boros elite get plusandplus end turn
Red,char deal damage target damage
White,battalion whenever daring skyjek least two creature attack daring skyjek gain flying end turn
Black,target creature get minusandminus end turn dredge would draw card instead may put exactly three card top library graveyard return card graveyard hand otherwise draw card
Green,scavenge greenmanagreenmana greenmanagreenmana exile card graveyard put number plusandplus counter equal card power target creature scavenge sorcery
White,convoke creature help cast spell creature tap casting spell pay one mana creature color exile target attacking blocking creature
Red,electrickery deal damage target creature control overload redmana may cast spell overload cost change text replacing instance target
Green,convoke creature help cast spell creature tap casting spell pay one mana creature color target creature get plusandplus end turn
Red,create four red goblin creature token
Red,haste battalion whenever legion loyalist least two creature attack creature control gain first strike trample end turn blocked creature token turn
Black,netherborn phalanx enters battlefield opponent loses life creature control transmute blackmanablackmana blackmanablackmana discard card search library card converted mana cost card reveal put hand shuffle library transmute sorcery
Green,convoke creature help cast spell creature tap casting spell pay one mana creature color create three green saproling creature token
Red,replicate redmana cast spell copy time paid replicate cost may choose new target copy destroy target artifact
Blue,create token copy target artifact creature cipher may exile spell card encoded creature control whenever creature deal combat damage player controller may cast copy encoded card without paying mana cost
White,azorius justiciar enters battlefield detain two target creature opponent control next turn creature attack block activated ability activated
White,flying haunt creature dy exile haunting target creature belfry spirit enters battlefield creature haunt dy create two black bat creature token flying
Blue,flying evolve whenever creature enters battlefield control creature ha greater power toughness creature put plusandplus counter creature
Green,evolve whenever creature enters battlefield control creature ha greater power toughness creature put plusandplus counter creature tap add greenmana plusandplus counter gyre sage
Blue,defender flying
White,whitemana sacrifice creature target creature attack turn
Green,create xandx green ooze creature token x greatest power among creature control
Red,first strike unleash may creature enter battlefield plusandplus counter block long ha plusandplus counter
Black,deathtouch unleash may creature enter battlefield plusandplus counter block long ha plusandplus counter
Green,deathtouch bloodrush greenmana discard wasteland viper target attacking creature get plusandplus gain deathtouch end turn
Green,enchant green creature enchanted creature get plusandplus greenmanagreenmanagreenmana sacrifice wurmweaver coil create green wurm creature token
Black,blackmana target attacking zombie gain indestructible end turn damage effect say destroy destroy toughness le still put owner graveyard
Blue,flying whenever cast instant sorcery spell aven wind mage get plusandplus end turn
Black,menace whenever creature attack one opponent player loses life
Black,flying
White,first strike renown creature deal combat damage player renowned put plusandplus counter becomes renowned whenever consul lieutenant attack renowned attacking creature control get plusandplus end turn
Green,trample crested herdcaller enters battlefield create green dinosaur creature token trample
Black,flying crow dark tidings enters battlefield dy put top two card library graveyard
Blue,untap nonland permanent control
Green,trample earthshaker giant enters battlefield creature control get plusandplus gain trample end turn
Red,first strike source would deal damage opponent deal double damage player instead
Green,spell cost x le cast x total power creature control trample
Black,target creature get minusandminus end turn
Green,reach
White,vigilance highcliff felidar enters battlefield opponent choose creature greatest power among creature player control destroy creature
Red,long control dragon kargan dragonrider ha flying blocked except creature flying reach
White,renown creature deal combat damage player renowned put plusandplus counter becomes renowned whitemanawhitemana tap target creature
Red,flying whenever another nontoken dragon enters battlefield control create red dragon creature token flying redmana dragon control get plusandplus end turn
Red,lightning strike deal damage target
White,flying patron valiant enters battlefield put plusandplus counter creature control plusandplus counter
Green,enrage whenever ranging raptor dealt damage may search library basic land card put onto battlefield tapped shuffle library
Green,enrage whenever ripjaw raptor dealt damage draw card
Blue,return nonland permanent target player control owner hand
Blue,salvager secret enters battlefield return target instant sorcery card graveyard hand
Red,flying sparktongue dragon enters battlefield may pay redmana deal damage target
Blue,flying sphinx enlightenment enters battlefield target opponent draw card draw three card
White,destroy target tapped creature
Green,additional cost cast spell reveal dinosaur card hand pay search library basic land card put onto battlefield tapped shuffle library
Green,dinosaur control get plusandplus greenmana create green dinosaur creature token trample
White,vigilance attacking cause creature tap renown creature deal combat damage player renowned put plusandplus counter becomes renowned
Red,haste voldaren duelist enters battlefield target creature block turn
Red,redmana zealot godminuspharaoh deal damage target opponent planeswalker
White,nontoken creature control get plusandplus vigilance
Green,spell cost le cast opponent trample avatar growth enters battlefield player search library two basic land card put onto battlefield shuffle library
Red,bombard deal damage target creature
White,destroy target attacking creature draw card
Black,destroy target nonminuszombie creature regenerated return one target zombie card graveyard hand
White,prevent combat damage would dealt everdawn champion
Red,goblin goliath enters battlefield create number red goblin creature token equal number opponent redmana tap source control would deal damage opponent turn deal double damage player instead
Black,opponent loses life creature control
Blue,attacking creature get minusandminus end turn draw card
Blue,flying inspired sphinx enters battlefield draw card equal number opponent bluemana create colorless thopter artifact creature token flying
White,inspiring captain enters battlefield creature control get plusandplus end turn
Green,greenmana put plusandplus counter jungle delver
White,flying lifelink militant angel enters battlefield create number white knight creature token vigilance equal number opponent attacked turn
Green,scry reveal top card library creature card draw card equal power gain life equal toughness
Green,creature control get plusandplus gain trample end turn deal excess combat damage player planeswalker attacking
Black,menace rot hulk enters battlefield return x target zombie card graveyard battlefield x number opponent
Red,seismic elemental enters battlefield creature without flying block turn
Blue,flying whenever cast noncreature spell creature control get plusandplus end turn
Green,sacrifice thrashing brontodon destroy target artifact enchantment
White,haunt creature dy exile haunting target creature absolver thrull enters battlefield creature haunt dy destroy target enchantment
Black,whenever opponent discard card abyssal nocturnus get plusandplus gain fear end turn blocked except artifact creature andandor black creature
Blue,whenever aetherplasm block creature may return aetherplasm owner hand may put creature card hand onto battlefield blocking creature
Green,bloodthirst opponent wa dealt damage turn creature enters battlefield plusandplus counter creature power le battering wurm power block
Green,enchant creature creature control enchanted get plusandplus whenever creature control enchanted becomes blocked get plusandplus end turn creature blocking
White,gain life player haunt spell card put graveyard resolving exile haunting target creature creature benediction moon haunt dy gain life player
